Initial:  {'Temperature': 1.0, 'Pressure': 222.58978716154098, 'Total Energy': 3144.9394479248913, 'Momentum Magnitude': 2.6148868358935697e-13}
1420 {'Temperature': 0.5145859778656547, 'Pressure': 228.20842649046583, 'Total Energy': 3149.9724040320716, 'Momentum Magnitude': 4.894320144080244e-13}
1430 {'Temperature': 0.4810639109787558, 'Pressure': 228.57975253642473, 'Total Energy': 3150.2106668354427, 'Momentum Magnitude': 4.999094255889657e-13}
1440 {'Temperature': 0.5187779361538892, 'Pressure': 228.1464065290206, 'Total Energy': 3149.7903375838746, 'Momentum Magnitude': 4.858501750633342e-13}
1450 {'Temperature': 0.4955452511147758, 'Pressure': 228.42883529718412, 'Total Energy': 3150.2032308159196, 'Momentum Magnitude': 4.982987052786522e-13}
1460 {'Temperature': 0.507417544013465, 'Pressure': 228.28034659682726, 'Total Energy': 3149.9822836010453, 'Momentum Magnitude': 4.711307505742488e-13}
1470 {'Temperature': 0.49032037289881175, 'Pressure': 228.49101159343013, 'Total Energy': 3150.4193222226686, 'Momentum Magnitude': 4.695464811974894e-13}
1480 {'Temperature': 0.5180499381573463, 'Pressure': 228.1547437496609, 'Total Energy': 3149.8271104038786, 'Momentum Magnitude': 4.877940479747134e-13}
1490 {'Temperature': 0.48749460223297175, 'Pressure': 228.50662302350682, 'Total Energy': 3150.216188351339, 'Momentum Magnitude': 5.043946643977525e-13}
1500 {'Temperature': 0.54666690347408, 'Pressure': 227.82730916748525, 'Total Energy': 3149.5034421909295, 'Momentum Magnitude': 4.803641619002207e-13}
1510 {'Temperature': 0.48504021254625046, 'Pressure': 228.5463500062501, 'Total Energy': 3150.3875064115405, 'Momentum Magnitude': 4.689666329390817e-13}
1520 {'Temperature': 0.5201521560610567, 'Pressure': 228.12285863120533, 'Total Energy': 3149.589489308968, 'Momentum Magnitude': 4.748324488646048e-13}
1530 {'Temperature': 0.5252022917854624, 'Pressure': 228.08326075202461, 'Total Energy': 3150.002084693969, 'Momentum Magnitude': 4.647239525468528e-13}
1540 {'Temperature': 0.49157594607579086, 'Pressure': 228.4638936537296, 'Total Energy': 3150.0883132329745, 'Momentum Magnitude': 4.644876066575588e-13}
1550 {'Temperature': 0.4804348830073763, 'Pressure': 228.58335439074278, 'Total Energy': 3150.0475189025083, 'Momentum Magnitude': 4.653397308289503e-13}
1560 {'Temperature': 0.5005309291703682, 'Pressure': 228.37155839928573, 'Total Energy': 3150.242949857615, 'Momentum Magnitude': 4.669186144126928e-13}
1570 {'Temperature': 0.49679860818031557, 'Pressure': 228.39617052909466, 'Total Energy': 3149.9775731676996, 'Momentum Magnitude': 4.854302111440068e-13}
1580 {'Temperature': 0.48145210967648905, 'Pressure': 228.57600190050238, 'Total Energy': 3150.2270550344597, 'Momentum Magnitude': 4.951394795863159e-13}
1590 {'Temperature': 0.5150451885726111, 'Pressure': 228.2021774908268, 'Total Energy': 3150.0325693254363, 'Momentum Magnitude': 5.000715765633631e-13}
1600 {'Temperature': 0.4948657694112696, 'Pressure': 228.41947363733644, 'Total Energy': 3149.985584637553, 'Momentum Magnitude': 4.993982181557739e-13}
1610 {'Temperature': 0.4830382351551388, 'Pressure': 228.56217749291227, 'Total Energy': 3150.3345616244546, 'Momentum Magnitude': 5.159668071784101e-13}
1620 {'Temperature': 0.5400443931898162, 'Pressure': 227.909850556841, 'Total Energy': 3149.6843011682818, 'Momentum Magnitude': 5.319230579079029e-13}
1630 {'Temperature': 0.4947953138416731, 'Pressure': 228.4285095457543, 'Total Energy': 3150.170484514351, 'Momentum Magnitude': 5.409210865002139e-13}
1640 {'Temperature': 0.4577836291059384, 'Pressure': 228.8490665306586, 'Total Energy': 3150.3443073717635, 'Momentum Magnitude': 5.555770223790504e-13}
1650 {'Temperature': 0.5180292664817048, 'Pressure': 228.1665269243241, 'Total Energy': 3150.045038936391, 'Momentum Magnitude': 5.614963875017244e-13}
1660 {'Temperature': 0.4979404185642945, 'Pressure': 228.37991497850388, 'Total Energy': 3149.914256946742, 'Momentum Magnitude': 5.711500132634914e-13}
1670 {'Temperature': 0.4721712190754387, 'Pressure': 228.69053179969217, 'Total Energy': 3150.375471386213, 'Momentum Magnitude': 5.874280486571976e-13}
1680 {'Temperature': 0.5510868632118335, 'Pressure': 227.780953229805, 'Total Energy': 3149.68827049879, 'Momentum Magnitude': 6.02273113818794e-13}
1690 {'Temperature': 0.5005896915004088, 'Pressure': 228.3613288168409, 'Total Energy': 3150.0866772846416, 'Momentum Magnitude': 5.891693687962785e-13}
1700 {'Temperature': 0.5069064408563958, 'Pressure': 228.27544165171048, 'Total Energy': 3149.862743501074, 'Momentum Magnitude': 5.938136778474857e-13}
1710 {'Temperature': 0.5027831246678264, 'Pressure': 228.34563477942686, 'Total Energy': 3150.27828486824, 'Momentum Magnitude': 5.75359969761034e-13}
1720 {'Temperature': 0.46575669751620713, 'Pressure': 228.75608367983645, 'Total Energy': 3150.3156035702314, 'Momentum Magnitude': 5.795507457650761e-13}
1730 {'Temperature': 0.4536472608059123, 'Pressure': 228.90338290865893, 'Total Energy': 3150.6710234082293, 'Momentum Magnitude': 5.697913475561106e-13}
1740 {'Temperature': 0.5489981545271674, 'Pressure': 227.80056626164335, 'Total Energy': 3149.458277294272, 'Momentum Magnitude': 5.682485537265638e-13}
