epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        50, 27068.898,    0.005,       0.00013864,       8.4216e-06,          0.13864,       0.0103,       0.0143,      0.00657,       0.0126,       0.0124,       0.0105,      0.00896,       0.0167,       0.0166,       0.0141,       0.0592,      0.00282,       4.0486e-05,       1.6147e-07,         0.040487,      0.00544,      0.00771,       0.0032,      0.00701,      0.00642,      0.00554,      0.00443,      0.00938,      0.00865,      0.00749,      0.00843,     0.000401
        51, 27589.373,    0.005,       0.00013562,       8.8434e-06,          0.13563,       0.0101,       0.0141,      0.00643,       0.0125,       0.0122,       0.0104,      0.00882,       0.0166,       0.0165,        0.014,       0.0588,       0.0028,        3.769e-05,       8.9645e-08,         0.037691,      0.00523,      0.00744,      0.00308,      0.00674,      0.00616,      0.00533,      0.00428,      0.00904,      0.00837,      0.00723,      0.00608,     0.000289
        52, 28111.822,    0.005,        0.0001361,       7.0593e-06,           0.1361,       0.0101,       0.0141,      0.00653,       0.0125,       0.0121,       0.0104,      0.00895,       0.0166,       0.0164,        0.014,       0.0523,      0.00249,        3.784e-05,       8.5156e-08,          0.03784,      0.00525,      0.00745,      0.00308,       0.0068,      0.00612,      0.00534,      0.00424,       0.0091,      0.00834,      0.00722,      0.00587,     0.000279
        53, 28633.392,    0.005,       0.00013216,       6.6167e-06,          0.13217,      0.00993,       0.0139,      0.00642,       0.0122,       0.0119,       0.0102,      0.00887,       0.0163,       0.0161,       0.0138,       0.0516,      0.00246,       3.8489e-05,       1.0731e-06,          0.03849,      0.00527,      0.00752,      0.00306,      0.00685,      0.00616,      0.00535,      0.00423,      0.00921,      0.00838,      0.00727,       0.0254,      0.00121
        54, 29155.324,    0.005,       0.00013029,       8.2353e-06,           0.1303,      0.00995,       0.0138,      0.00644,       0.0122,        0.012,       0.0102,      0.00889,       0.0161,       0.0161,       0.0137,       0.0594,      0.00283,       3.7389e-05,       8.9027e-08,         0.037389,      0.00521,      0.00741,       0.0031,      0.00668,      0.00612,       0.0053,      0.00426,        0.009,      0.00835,       0.0072,      0.00598,     0.000285
        55, 29676.279,    0.005,       0.00012508,       6.3841e-06,          0.12509,      0.00975,       0.0136,       0.0063,       0.0119,       0.0118,         0.01,      0.00867,       0.0158,       0.0159,       0.0135,       0.0517,      0.00246,       3.5926e-05,       2.4168e-07,         0.035926,      0.00511,      0.00726,      0.00302,      0.00657,      0.00601,       0.0052,      0.00417,      0.00884,      0.00815,      0.00705,       0.0107,     0.000512
        56, 30196.358,    0.005,       0.00013033,       7.3929e-06,          0.13034,      0.00993,       0.0138,      0.00639,       0.0122,        0.012,       0.0102,      0.00881,       0.0162,       0.0161,       0.0137,       0.0547,      0.00261,       3.8983e-05,       1.8862e-06,         0.038985,      0.00529,      0.00756,      0.00308,      0.00679,      0.00635,      0.00541,      0.00421,      0.00919,      0.00866,      0.00735,       0.0342,      0.00163
        57, 30716.096,    0.005,       0.00011699,       6.6026e-06,            0.117,      0.00939,       0.0131,      0.00598,       0.0115,       0.0113,      0.00962,      0.00822,       0.0154,       0.0153,        0.013,       0.0519,      0.00247,       3.4224e-05,       1.3166e-07,         0.034224,      0.00498,      0.00709,       0.0029,      0.00646,      0.00577,      0.00505,      0.00403,      0.00867,      0.00787,      0.00686,      0.00759,     0.000361
        58, 31237.480,    0.005,       0.00012494,       7.3141e-06,          0.12495,      0.00974,       0.0135,      0.00625,        0.012,       0.0116,      0.00997,      0.00857,       0.0159,       0.0157,       0.0134,       0.0516,      0.00246,       3.4879e-05,       1.3664e-07,         0.034879,      0.00502,      0.00716,      0.00294,      0.00654,      0.00576,      0.00508,      0.00406,      0.00878,      0.00789,      0.00691,      0.00768,     0.000366
        59, 31757.771,    0.005,       0.00012937,       8.2449e-06,          0.12938,       0.0098,       0.0138,      0.00624,       0.0121,       0.0117,         0.01,      0.00862,       0.0162,       0.0161,       0.0136,       0.0578,      0.00275,       3.5678e-05,       2.3002e-06,          0.03568,      0.00507,      0.00724,      0.00298,      0.00655,      0.00592,      0.00515,      0.00414,      0.00884,      0.00805,      0.00701,       0.0379,      0.00181
